Name,Weight,Price,Bio Classification,Product URL,Image URL
"Schwarzwaldmilch frische fettarme Milch 1,5%",1 l,"1,65 €",Non-Bio,https://ec-offenburg.edeka.shop/Rezepte/Suesser-Weckmann/Schwarzwaldmilch-frische-fettarme-Milch-1-5-1-l.html?force_sid=5i3n1ja70e4v5u54vaeieq3lke&listtype=search&searchparam=milch&searchmanufacturer=_search_empty_,https://olivia3-images.maexware-kundencloud.de/out/pictures/generated/product/1/240_240_75/DV019_4046700026045_PER.png
"Schwarzwaldmilch Protein F-Milch 0,9 % Fett",1 l,"1,89 €",Non-Bio,https://ec-offenburg.edeka.shop/Kuehlprodukte/Eier-Kaese-Molkereiprodukte/Schwarzwaldmilch-Protein-F-Milch-0-9-Fett-1-l.html?force_sid=5i3n1ja70e4v5u54vaeieq3lke&listtype=search&searchparam=milch&searchmanufacturer=_search_empty_,https://olivia3-images.maexware-kundencloud.de/out/pictures/generated/product/1/240_240_75/DV019_4046700026045_PER.png
"Schwarzwaldmilch Frische Heimat Milch 3,5 % Fett",1 l,"1,69 €",Non-Bio,https://ec-offenburg.edeka.shop/Kuehlprodukte/Eier-Kaese-Molkereiprodukte/Milch/Schwarzwaldmilch-Frische-Heimat-Milch-3-5-Fett-1-l.html?force_sid=5i3n1ja70e4v5u54vaeieq3lke&listtype=search&searchparam=milch&searchmanufacturer=_search_empty_,https://olivia3-images.maexware-kundencloud.de/out/pictures/generated/product/1/240_240_75/DV019_4046700026045_PER.png
"Weihenstephan Frische Milch 1,5 % Fett",1 l,"1,69 €",Non-Bio,https://ec-offenburg.edeka.shop/Kuehlprodukte/Weihenstephan-Frische-Milch-1-5-Fett-1-l.html?force_sid=5i3n1ja70e4v5u54vaeieq3lke&listtype=search&searchparam=milch&searchmanufacturer=_search_empty_,https://olivia3-images.maexware-kundencloud.de/out/pictures/generated/product/1/240_240_75/DV019_4046700026045_PER.png
"Weihenstephan Frische Milch 3,5 % Fett",1 l,"1,79 €",Non-Bio,https://ec-offenburg.edeka.shop/Kuehlprodukte/Eier-Kaese-Molkereiprodukte/Weihenstephan-Frische-Milch-3-5-Fett-1-l.html?force_sid=5i3n1ja70e4v5u54vaeieq3lke&listtype=search&searchparam=milch&searchmanufacturer=_search_empty_,https://olivia3-images.maexware-kundencloud.de/out/pictures/generated/product/1/240_240_75/DV019_4046700026045_PER.png
"Weihenstephan Frische Milch 1,5 % Fett",500 ml,"1,05 €",Non-Bio,https://ec-offenburg.edeka.shop/Kuehlprodukte/Eier-Kaese-Molkereiprodukte/Milch/Weihenstephan-Frische-Milch-1-5-Fett-500-ml.html?force_sid=5i3n1ja70e4v5u54vaeieq3lke&listtype=search&searchparam=milch&searchmanufacturer=_search_empty_,https://olivia3-images.maexware-kundencloud.de/out/pictures/generated/product/1/240_240_75/DV019_4046700026045_PER.png
"Weihenstephan Frische Milch 3,5 % Fett",500 ml,"1,15 €",Non-Bio,https://ec-offenburg.edeka.shop/Kuehlprodukte/Eier-Kaese-Molkereiprodukte/Milch/Weihenstephan-Frische-Milch-3-5-Fett-500-ml.html?force_sid=5i3n1ja70e4v5u54vaeieq3lke&listtype=search&searchparam=milch&searchmanufacturer=_search_empty_,https://olivia3-images.maexware-kundencloud.de/out/pictures/generated/product/1/240_240_75/DV019_4046700026045_PER.png
"Arla laktosefreie Milch 1,5 % Fett",1 l,"2,09 €",Non-Bio,https://ec-offenburg.edeka.shop/Kuehlprodukte/Eier-Kaese-Molkereiprodukte/Milch/Arla-laktosefreie-Milch-1-5-Fett-1-l.html?force_sid=5i3n1ja70e4v5u54vaeieq3lke&listtype=search&searchparam=milch&searchmanufacturer=_search_empty_,https://olivia3-images.maexware-kundencloud.de/out/pictures/generated/product/1/240_240_75/DV019_4046700026045_PER.png
"Schwarzwaldmilch Frische fettarme Bio Milch 1,5 %",1 l,"1,95 €",Non-Bio,https://ec-offenburg.edeka.shop/Kuehlprodukte/Eier-Kaese-Molkereiprodukte/Milch/Schwarzwaldmilch-Frische-fettarme-Bio-Milch-1-5-1-l.html?force_sid=5i3n1ja70e4v5u54vaeieq3lke&listtype=search&searchparam=milch&searchmanufacturer=_search_empty_,https://olivia3-images.maexware-kundencloud.de/out/pictures/generated/product/1/240_240_75/DV019_4046700026045_PER.png
"Schwarzwaldmilch Bio Frische Milch 1,5 % Fett",1 l,"1,89 €",Non-Bio,https://ec-offenburg.edeka.shop/Klassisch-Deutsch/Schwarzwaldmilch-Bio-Frische-Milch-1-5-Fett-1-l.html?force_sid=5i3n1ja70e4v5u54vaeieq3lke&listtype=search&searchparam=milch&searchmanufacturer=_search_empty_,https://olivia3-images.maexware-kundencloud.de/out/pictures/generated/product/1/240_240_75/DV019_4046700026045_PER.png
"Schwarzwaldmilch Protein H-Milch 0,9 % Fett",1 l,"1,99 €",Non-Bio,https://ec-offenburg.edeka.shop/Kuehlprodukte/Eier-Kaese-Molkereiprodukte/Milch/Schwarzwaldmilch-Protein-H-Milch-0-9-Fett-1-l.html?force_sid=5i3n1ja70e4v5u54vaeieq3lke&listtype=search&searchparam=milch&searchmanufacturer=_search_empty_,https://olivia3-images.maexware-kundencloud.de/out/pictures/generated/product/1/240_240_75/DV019_4046700026045_PER.png
"Schwarzwaldmilch Haltbare Heimat Milch 3,5 % Fett",1 l,"1,79 €",Non-Bio,https://ec-offenburg.edeka.shop/Kuehlprodukte/Eier-Kaese-Molkereiprodukte/Milch/Schwarzwaldmilch-Haltbare-Heimat-Milch-3-5-Fett-1-l.html?force_sid=5i3n1ja70e4v5u54vaeieq3lke&listtype=search&searchparam=milch&searchmanufacturer=_search_empty_,https://olivia3-images.maexware-kundencloud.de/out/pictures/generated/product/1/240_240_75/DV019_4046700026045_PER.png
"Weihenstephan Haltbare Milch 0,1% Fett",1 l,"1,59 €",Non-Bio,https://ec-offenburg.edeka.shop/Kuehlprodukte/Weihenstephan-Haltbare-Milch-0-1-Fett-1-l.html?force_sid=5i3n1ja70e4v5u54vaeieq3lke&listtype=search&searchparam=milch&searchmanufacturer=_search_empty_,https://olivia3-images.maexware-kundencloud.de/out/pictures/generated/product/1/240_240_75/DV019_4046700026045_PER.png
